platform,count
Microsoft Windows,5305
PlayStation 2,2444
PlayStation 3,2118
Xbox 360,1909
Nintendo DS,1408
Nintendo Wii,1230
macOS,1142
iOS,1127
PlayStation,1095
PlayStation Portable,1045
PlayStation 4,1016
Xbox,994
Game Boy Advance,947
DOS,815
Super Nintendo Entertainment System,780
Nintendo GameCube,772
Android,700
Xbox One,661
Nintendo Entertainment System,589
Commodore 64,588
Nintendo 3DS,510
Sega Mega Drive,504
Nintendo 64,496
Commodore Amiga,491
arcade game machine,461
ZX Spectrum,435
Linux,431
Nintendo Switch,379
PlayStation Vita,346
Amstrad CPC,326
Atari ST,314
Game Boy,310
Dreamcast,283
Macintosh operating systems,277
Wii U,271
Game Boy Color,265
Sega Saturn,221
MSX,191
Atari 2600,181
Sega Master System,119
Windows Phone,101
Neo Geo,95
personal computer,95
TurboGrafx-16,86
Game Gear,83
Apple IIGS,79
Apple Macintosh,73
3DO Interactive Multiplayer,71
N-Gage,63
Amiga 1200,53
Atari 5200,49
Atari 8-bit family,49
PlayStation 5,48
MS-DOS,44
mobile phone,44
Sega Mega-CD,43
Atari 7800,40
Commodore VIC-20,37
Apple II,36
Java Virtual Machine,36
NEC PC-9800 series,34
Acorn Archimedes,34
BBC Micro,33
Apple II series,32
web browser,31
Family Computer Disk System,27
Virtual Console,26
TRS-80,25
"Java Platform, Micro Edition",25
Atari Jaguar,25
IBM PC compatible,24
Philips CD-i,23
Xbox Series X,22
PlayStation Network,22
Adobe Flash,22
BlackBerry 10,21
Sega 32X,19
video game arcade cabinet,19
Amiga CD32,18
Nintendo DSi,18
Xbox Live Arcade,18
WonderSwan Color,18
Intellivision,17
WonderSwan,17
ColecoVision,16
Nintendo Switch Lite,15
Atari Lynx,15
Xbox Series X and Series S,15
IBM Personal Computer,14
Virtual Boy,14
Neo Geo CD,13
Amstrad PCW,13
Zeebo,13
FM Towns,13
NEC PC-8800 series,12
Windows Calculator,12
Vectrex,11
Sharp X68000,11
BlackBerry,11
Java,11
Ouya,11
New Nintendo 3DS,10
Neo Geo Pocket Color,10
Acorn Electron,10
iQue Player,10
SG-1000,10
Dragon 32/64,10
AmigaOS,9
SteamOS,9
Windows Mobile,9
Super NES Classic Edition,8
Symbian,8
Q17232580,8
Commodore CDTV,8
Magnavox Odyssey²,8
Motorola 68000,8
Zilog Z80,8
Sharp X1,7
TRS-80 Color Computer,7
Thomson MO5,7
mobile game,7
"NeXT Computer, Inc.",7
Super Game Boy,7
Atari TOS,6
Commodore 16,6
Texas Instruments TI-99/4A,6
PlayStation 4 Pro,6
Mitchell,6
MorphOS,6
Windows 10,6
Pocket PC,6
CP System,5
BlackBerry OS,5
mainframe computer,5
Thomson TO7,5
Power Macintosh,5
Universal Windows Platform,5
Unix-like,5
smartphone,5
Commodore Plus/4,5
Epson QX-10,4
FM-7,4
Windows 3.x,4
CP/M,4
Solaris,4
Facebook,4
PC Engine SuperGrafx,4
PlayStation TV,4
OS/2,4
Xbox Live,4
Apricot PC,4
IRIX,4
Intel 8086,4
list of DSiWare games and applications,4
RiscPC,4
Pentium 4,4
Classic Mac OS,3
cross-platform,3
Facebook Platform,3
Sega Pico,3
Commodore PET,3
Windows 8.1,3
Apple Pippin,3
OnLive,3
Motorola 6809,3
online game,3
MOTO Gamme,3
Chrome OS,3
Thomson TO,3
Olivetti Prodest PC 128,3
Atari Jaguar CD,3
Game & Watch series,3
PC,3
arcade video game,2
WiiWare,2
ZN-2,2
Sega NAOMI,2
Windows 98,2
iPhone,2
Xbox One X,2
Sega System 32,2
Shield Portable,2
Sega Titan Video,2
Windows XP,2
Triforce,2
slot machine,2
System SSV,2
handheld TV game,2
Shield Tablet,2
x86,2
Fairchild Channel F,2
Oric,2
PC booter,2
PC-6000 series,2
DECO Cassette System,2
Namco System 22,2
PDP-10,2
Nvidia Shield,2
Commodore 128,2
Naomi 2,2
Donner Model 30,2
CP System II,2
Binary Runtime Environment for Wireless,2
HP 3000,2
Dynavision,2
Neo Geo Pocket,2
Atari Falcon,2
Java platform,2
Amstrad GX4000,2
Adobe Flash Player,2
Nintendo,2
Family Computer,2
ZN-1,1
Z-machine,1
Satellaview,1
FreeBSD,1
FM Towns Marty,1
GNU/Linux,1
General Comprehensive Operating System,1
Gizmondo,1
HTML5,1
IA-32,1
Kindle Fire HD,1
Windows 10 Mobile,1
Freedom of Mobile Multimedia Access,1
handheld electronic game,1
Entex Adventure Vision,1
Coleco Adam,1
web page,1
Acorn Atom,1
Arcadia 2001,1
pachinko,1
BeOS,1
online and offline,1
Chihiro,1
interactive film,1
Electronic Delay Storage Automatic Calculator,1
Commodore MAX Machine,1
iPod,1
iPadOS,1
DVD player,1
MSX 2,1
Debian,1
arcade system board,1
MOS Technology 6502,1
Windows 9x,1
Windows Mobile 2003,1
SkillGround,1
Odyssey,1
Oric Atmos,1
PC-6600 series,1
PC-FX,1
PDP-7,1
Super CD-ROM2,1
PV-1000,1
Pandora,1
Smaky,1
Philips Videopac+ G7400,1
Main Event,1
PlayStation Mobile,1
Playdate,1
Playdia,1
Sharp MZ,1
Seta 1st Generation,1
Q251,1
Sega System C-2,1
R4600,1
Raspberry Pi,1
Nintendo Super System,1
Thomson TO7-70,1
Thomson TO9,1
Timex Sinclair 2068,1
Windows Me,1
Mega Drive Mini,1
SGI Onyx,1
Microvision,1
Multics,1
Windows 8,1
Windows 7,1
Namco Galaga,1
Windows 3.1,1
Windows 2000,1
Namco System 246,1
Namco System 256,1
Namco System ES3,1
V Cast,1
NetBSD,1
Unix,1
Netflix,1
Ubuntu,1
Nintendo 3DS family,1
OpenBSD,1
